Wall time,Step,Value
1713860039.969964,1853850,9.733749389648438
1713860039.970334,1853865,9.931848526000977
1713860039.970607,1853868,9.795418739318848
1713860039.970892,1853874,9.87691593170166
1713860039.971181,1853916,9.731502532958984
1713860039.971522,1853925,7.6730451583862305
1713860039.971797,1853958,9.296185493469238
1713860039.97209,1853970,9.442022323608398
1713860039.972382,1853976,10.0
1713860039.972796,1853982,9.912408828735352
1713860039.973103,1853991,9.305707931518555
1713860039.973394,1854039,7.996187210083008
1713860039.973676,1854045,9.643489837646484
1713860039.973997,1854066,9.866044044494629
1713860039.974346,1854066,6.997280120849609
1713860039.974623,1854084,9.778371810913086
1713860039.974935,1854111,9.736340522766113
1713860039.975242,1854123,9.826027870178223
1713860039.975556,1854129,9.944531440734863
1713860039.975853,1854141,9.540675163269043
1713860039.976143,1854147,9.992280006408691
1713860039.976446,1854156,9.864405632019043
1713860039.976742,1854177,9.647778511047363
1713860039.977034,1854183,9.881848335266113
1713860039.977346,1854192,9.75398063659668
1713860039.977639,1854222,9.74024486541748
1713860039.977919,1854234,9.738327980041504
1713860039.978198,1854237,9.663753509521484
1713860039.978518,1854258,9.910704612731934
1713860039.978819,1854264,-2.768174409866333
1713860039.979108,1854267,9.722626686096191
1713860039.979404,1854282,9.844051361083984
1713860039.9797,1854306,9.813838005065918
1713860039.979986,1854315,9.669806480407715
1713860039.980267,1854327,7.437920093536377
1713860039.98058,1854339,-2.1516246795654297
1713860039.980885,1854351,9.367900848388672
1713860039.981182,1854372,9.762375831604004
1713860039.981464,1854387,-3.9387991428375244
1713860039.981765,1854396,9.68400764465332
1713860039.982066,1854420,7.921763896942139
1713860039.982347,1854420,9.914491653442383
1713860039.982624,1854444,9.486345291137695
1713860039.982905,1854444,9.779732704162598
1713860039.9832,1854444,9.86640453338623
1713860039.98348,1854450,10.0
1713860039.983765,1854483,9.828012466430664
1713860039.984051,1854489,9.754575729370117
1713860039.984935,1854501,8.24826431274414
1713860039.985686,1854540,9.633882522583008
1713860039.98598,1854546,9.71716594696045
1713860039.986322,1854552,7.791481971740723
1713860039.98665,1854579,9.746651649475098
1713860039.986953,1854591,9.738597869873047
1713860039.987279,1854600,7.829632759094238
1713860039.988003,1854603,9.901339530944824
1713860039.988339,1854633,9.863288879394531
1713860039.988669,1854639,9.51534366607666
1713860039.989097,1854654,9.945150375366211
1713860039.98941,1854657,8.449482917785645
1713860039.989748,1854666,9.859249114990234
1713860039.99018,1854672,10.0
1713860039.990499,1854690,9.930014610290527
1713860039.9908,1854696,8.904474258422852
1713860039.991164,1854717,9.881766319274902
1713860039.991525,1854723,9.542778968811035
1713860039.991823,1854735,9.782139778137207
1713860039.992567,1854747,9.845760345458984
1713860039.993784,1854756,9.981950759887695
1713860039.994477,1854780,9.89426040649414
1713860039.995139,1854792,9.571495056152344
1713860039.995443,1854819,9.407867431640625
1713860039.995767,1854828,9.709442138671875
1713860039.996222,1854843,8.279385566711426
1713860039.996509,1854873,9.870601654052734
1713860039.996834,1854873,9.672451972961426
1713860039.997152,1854879,7.992053508758545
